query_time,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27
"2019-12-09 23:35:56",9617,11487,11487,12177,17777,11487,10907
"2019-12-10 23:35:56",9997,11487,15717,15797,14867,14020,10907
"2019-12-11 00:26:16",9997,11487,15717,15797,14867,14020,10907
"2019-12-11 00:52:51",9997,11487,15717,15797,14867,14020,10907
"2019-12-11 07:21:50",9997,12747,15717,15797,16035,12887,13467
"2019-12-11 07:36:35",9997,12747,15717,15797,16035,12887,13467
"2019-12-11 12:53:49",9997,12747,10907,12177,16035,12887,14157
"2019-12-11 14:19:36",9997,12747,10907,12177,16035,14020,14157
"2019-12-11 15:17:07",9997,12747,10907,12177,16035,14020,14157
"2019-12-11 16:03:08",9997,12747,15717,12177,16035,14020,14157
"2019-12-11 16:15:07",9997,12747,15717,12177,16035,14020,14157
"2019-12-11 17:15:07",9997,12747,15717,12177,16035,14020,14157
"2019-12-11 18:15:06",9997,12747,15717,12177,16035,14020,14157
"2019-12-11 19:15:07",9997,12747,15717,12177,16035,14020,13467
"2019-12-11 20:15:08",9997,12747,10907,12177,16035,14020,14157
"2019-12-12 10:15:06",9997,12747,15717,12177,16035,14020,12887
"2019-12-12 10:50:01",9997,12747,15797,12177,16035,14020,12887
"2019-12-12 11:15:07",9997,12747,15797,12177,16035,14020,12887
"2019-12-12 12:15:07",9997,12747,15797,12177,16035,14020,13467
"2019-12-12 13:15:09",9997,12747,15797,12967,16035,12887,13467
"2019-12-12 14:15:06",10417,12747,15797,12967,16035,12887,12887
"2019-12-12 15:15:07",10417,12747,16377,12967,16035,12887,12887
"2019-12-12 16:15:07",10417,12747,17067,12967,16035,12887,12887
"2019-12-12 17:15:05",10987,12057,17067,13687,15325,12747,10907
"2019-12-12 18:15:07",10987,12057,17067,13687,14157,12747,10907
